peptide_id	seed	Chn1	Chn2	Dist	LIS	Model	PAE	Type	d0chn	d0dom	d0res	dist1	dist2	ipSAE	ipSAE_d0chn	ipSAE_d0dom	ipTM_af	ipTM_d0chn	n0chn	n0dom	n0res	nres1	nres2	pDockQ	pDockQ2
real__beta_casomorphin_5_bov	seed0	A	B	15	0.3063	model0	10	max	6.22	5.97	1.00	123	5	0.044397	0.633447	0.614169	0.000	0.633447	286	261	5	256	5	0.1301	0.1967
real__beta_casomorphin_5_bov	seed1	A	B	15	0.3034	model0	10	max	6.22	5.99	1.00	119	5	0.042217	0.627075	0.609099	0.000	0.627075	286	263	5	258	5	0.0803	0.1674
real__beta_casomorphin_5_bov	seed2	A	B	15	0.3153	model0	10	max	6.22	5.96	1.00	122	5	0.046833	0.651893	0.631999	0.000	0.651893	286	260	5	255	5	0.0612	0.2004
real__beta_casomorphin_5_bov	seed3	A	B	15	0.3110	model0	10	max	6.22	5.98	1.00	114	5	0.046713	0.649591	0.631331	0.000	0.649591	286	262	5	257	5	0.0767	0.2100
real__beta_casomorphin_5_bov	seed4	A	B	15	0.3163	model0	10	max	6.22	5.96	1.00	120	5	0.048501	0.658397	0.638731	0.000	0.658397	286	260	5	255	5	0.0740	0.1790
real__casoxin_C	seed0	A	B	15	0.2290	model0	10	max	6.27	5.96	1.00	120	8	0.029399	0.516765	0.492511	0.000	0.491276	291	260	9	250	10	0.1306	0.0557
real__casoxin_C	seed1	A	B	15	0.2377	model0	10	max	6.27	5.98	1.00	120	9	0.030082	0.522303	0.499538	0.000	0.495001	291	262	9	252	10	0.1796	0.0655
real__casoxin_C	seed2	A	B	15	0.2316	model0	10	max	6.27	5.95	1.00	123	8	0.030469	0.529690	0.504435	0.000	0.488910	291	259	7	250	9	0.1607	0.0567
real__casoxin_C	seed3	A	B	15	0.2537	model0	10	max	6.27	5.98	1.00	127	10	0.033252	0.553704	0.530941	0.000	0.553704	291	262	10	252	10	0.1638	0.0866
real__casoxin_C	seed4	A	B	15	0.2377	model0	10	max	6.27	5.98	1.00	124	8	0.030970	0.537387	0.514497	0.000	0.495967	291	262	8	253	9	0.1876	0.0644
real__met_enkephalin	seed0	A	B	15	0.2967	model0	10	max	6.22	5.95	1.00	122	5	0.046572	0.642877	0.622239	0.000	0.642877	286	259	5	254	5	0.0965	0.1957
real__met_enkephalin	seed1	A	B	15	0.2913	model0	10	max	6.22	5.96	1.00	121	5	0.045297	0.630047	0.610232	0.000	0.630047	286	260	5	255	5	0.1148	0.1582
real__met_enkephalin	seed2	A	B	15	0.2932	model0	10	max	6.22	5.95	1.00	113	5	0.046632	0.638902	0.618342	0.000	0.638902	286	259	5	254	5	0.1068	0.1803
real__met_enkephalin	seed3	A	B	15	0.2957	model0	10	max	6.22	5.96	1.00	118	5	0.047858	0.644331	0.624740	0.000	0.644331	286	260	5	255	5	0.1178	0.1700
real__met_enkephalin	seed4	A	B	15	0.2972	model0	10	max	6.22	5.95	1.00	120	5	0.045521	0.634574	0.613886	0.000	0.634574	286	259	5	254	5	0.1061	0.1733
