peptide_id	aggregate_score	iptm	i_plddt_peptide	pae_interface_mean	pae_interface_min	peptide_rmsd_mean_A	cross_seed_agreement	is_decoy
alpha_lactorphin	0.41147	0.29929	0.506	11.938	4.055	3.767	DIVERGENT	False
alphas1_casein_exorphin_6	0.48661	0.39466	0.591	11.252	3.273	4.458	DIVERGENT	False
alphas1_casein_exorphin_7	0.4367	0.3314	0.553	11.945	3.785	4.318	DIVERGENT	False
beta_casomorphin_4_bov	0.43786	0.33218	0.592	10.88	3.512	3.732	DIVERGENT	False
beta_casomorphin_5_bov	0.44594	0.34278	0.548	11.538	3.552	4.479	DIVERGENT	False
beta_casomorphin_5_hum	0.47189	0.37448	0.575	10.987	3.559	3.505	DIVERGENT	False
beta_casomorphin_7_bov	0.42515	0.31815	0.509	12.88	3.802	1.346	PARTIAL	False
beta_casomorphin_7_hum	0.4202	0.31095	0.55	12.866	4.731	7.011	DIVERGENT	False
beta_lactorphin	0.46352	0.36443	0.548	10.856	3.353	3.681	DIVERGENT	False
casoxin_A	0.46509	0.36687	0.577	12.357	3.538	4.447	DIVERGENT	False
casoxin_B	0.46158	0.36183	0.645	10.711	3.295	3.219	DIVERGENT	False
casoxin_C	0.46784	0.37265	0.505	12.198	3.847	2.49	PARTIAL	False
casoxin_D	0.40918	0.29954	0.491	13.696	4.974	6.372	DIVERGENT	False
lactoferroxin_A_bov	0.41398	0.30437	0.513	12.276	3.933	4.361	DIVERGENT	False
lactoferroxin_A_hum	0.43255	0.32695	0.554	11.992	3.734	3.032	DIVERGENT	False
met_enkephalin	0.44936	0.3464	0.59	11.379	3.373	1.011	CONVERGED	False
neocasomorphin_6	0.37805	0.26049	0.492	15.605	7.265	7.895	DIVERGENT	False
scr__alpha_lactorphin	0.46946	0.37231	0.562	10.82	3.159	2.874	PARTIAL	True
scr__alphas1_casein_exorphin_6	0.45712	0.35816	0.605	11.56	3.189	5.839	DIVERGENT	True
scr__alphas1_casein_exorphin_7	0.48686	0.39538	0.551	11.106	3.689	5.877	DIVERGENT	True
scr__beta_casomorphin_4_bov	0.45101	0.34945	0.582	11.465	3.634	5.524	DIVERGENT	True
scr__beta_casomorphin_5_bov	0.41106	0.29934	0.529	12.704	4.253	3.785	DIVERGENT	True
scr__beta_casomorphin_5_hum	0.50944	0.42251	0.607	10.275	3.425	1.186	CONVERGED	True
scr__beta_casomorphin_7_bov	0.46676	0.37048	0.555	12.266	3.975	8.026	DIVERGENT	True
scr__beta_casomorphin_7_hum	0.49864	0.40849	0.566	11.66	3.627	6.325	DIVERGENT	True
scr__beta_lactorphin	0.50186	0.41205	0.57	9.649	2.728	2.204	PARTIAL	True
scr__casoxin_A	0.42986	0.3241	0.591	12.909	4.217	6.731	DIVERGENT	True
scr__casoxin_B	0.46623	0.36824	0.635	11.196	3.391	2.857	PARTIAL	True
scr__casoxin_C	0.40348	0.29423	0.49	14.952	4.845	4.394	DIVERGENT	True
scr__casoxin_D	0.4164	0.30837	0.446	13.218	4.695	3.996	DIVERGENT	True
scr__lactoferroxin_A_bov	0.43198	0.32718	0.492	11.784	3.843	5.307	DIVERGENT	True
scr__lactoferroxin_A_hum	0.40583	0.29406	0.502	12.924	4.048	5.004	DIVERGENT	True
scr__met_enkephalin	0.45453	0.35417	0.563	11.12	3.345	3.459	PARTIAL	True
scr__neocasomorphin_6	0.43769	0.33514	0.53	12.646	3.802	2.801	PARTIAL	True
scr__soymorphin_5	0.55098	0.47386	0.679	8.909	2.312	2.909	PARTIAL	True
scr__soymorphin_6	0.42467	0.31797	0.543	12.067	3.861	2.562	PARTIAL	True
scr__soymorphin_7	0.41668	0.30766	0.448	13.434	4.478	2.754	PARTIAL	True
