peptide_id	aggregate_score	iptm	i_plddt_peptide	pae_interface_mean	pae_interface_min	peptide_rmsd_mean_A	cross_seed_agreement	is_decoy
alpha_lactorphin	0.40211	0.28842	0.512	12.072	3.969	3.839	DIVERGENT	False
alphas1_casein_exorphin_6	0.45092	0.35078	0.561	11.826	3.34	5.093	DIVERGENT	False
alphas1_casein_exorphin_7	0.43037	0.32589	0.561	12.247	3.666	2.515	PARTIAL	False
beta_casomorphin_4_bov	0.41528	0.30415	0.579	11.62	3.935	3.5	DIVERGENT	False
beta_casomorphin_5_bov	0.41902	0.31002	0.541	11.968	4.018	4.143	DIVERGENT	False
beta_casomorphin_5_hum	0.43191	0.32664	0.557	11.766	4.036	4.099	DIVERGENT	False
beta_casomorphin_7_bov	0.41314	0.30204	0.498	13.335	4.053	2.026	PARTIAL	False
beta_casomorphin_7_hum	0.40435	0.29185	0.544	13.582	4.874	7.515	DIVERGENT	False
beta_lactorphin	0.44188	0.33749	0.557	11.051	3.454	2.382	PARTIAL	False
casoxin_A	0.40774	0.29699	0.526	13.512	4.277	4.81	DIVERGENT	False
casoxin_B	0.42175	0.31242	0.581	11.612	3.961	3.752	DIVERGENT	False
casoxin_C	0.46016	0.36193	0.498	12.666	4.04	7.09	DIVERGENT	False
casoxin_D	0.45426	0.35464	0.545	12.704	4.808	7.011	DIVERGENT	False
lactoferroxin_A_bov	0.40815	0.29746	0.509	12.476	4.245	3.956	DIVERGENT	False
lactoferroxin_A_hum	0.41456	0.30468	0.531	12.505	3.833	3.647	DIVERGENT	False
met_enkephalin	0.41873	0.30898	0.539	12.439	3.685	1.673	PARTIAL	False
neocasomorphin_6	0.39295	0.28042	0.548	13.982	4.744	1.083	CONVERGED	False
scr__alpha_lactorphin	0.45093	0.35022	0.571	11.189	3.331	2.739	PARTIAL	True
scr__alphas1_casein_exorphin_6	0.42591	0.31934	0.591	12.351	3.644	4.443	DIVERGENT	True
scr__alphas1_casein_exorphin_7	0.4842	0.39294	0.561	11.081	3.405	5.144	DIVERGENT	True
scr__beta_casomorphin_4_bov	0.4402	0.33567	0.541	12.187	3.945	3.803	DIVERGENT	True
scr__beta_casomorphin_5_bov	0.40099	0.28589	0.564	11.874	3.702	3.117	PARTIAL	True
scr__beta_casomorphin_5_hum	0.4486	0.34922	0.578	11.13	3.59	3.179	DIVERGENT	True
scr__beta_casomorphin_7_bov	0.49494	0.40484	0.605	11.02	3.613	8.269	DIVERGENT	True
scr__beta_casomorphin_7_hum	0.46662	0.37002	0.58	12.254	3.438	7.166	DIVERGENT	True
scr__beta_lactorphin	0.4732	0.37762	0.562	10.105	2.944	2.461	PARTIAL	True
scr__casoxin_A	0.44089	0.33956	0.602	12.576	4.083	3.724	DIVERGENT	True
scr__casoxin_B	0.43896	0.33548	0.58	11.674	3.779	3.401	DIVERGENT	True
scr__casoxin_C	0.3874	0.27367	0.48	15.096	4.984	3.514	DIVERGENT	True
scr__casoxin_D	0.39999	0.28843	0.437	13.538	5.265	5.307	DIVERGENT	True
scr__lactoferroxin_A_bov	0.41332	0.30339	0.478	12.133	4.026	3.603	DIVERGENT	True
scr__lactoferroxin_A_hum	0.38937	0.27438	0.497	13.269	3.907	4.993	DIVERGENT	True
scr__met_enkephalin	0.46054	0.36217	0.582	10.983	3.368	3.418	DIVERGENT	True
scr__neocasomorphin_6	0.41228	0.30509	0.51	13.198	4.085	3.999	DIVERGENT	True
scr__soymorphin_5	0.47207	0.37552	0.566	11.391	3.606	4.344	DIVERGENT	True
scr__soymorphin_6	0.40716	0.29772	0.526	12.473	4.087	2.781	PARTIAL	True
scr__soymorphin_7	0.41786	0.3092	0.467	13.194	4.284	2.85	PARTIAL	True
