peptide_id	n_seeds	n_pairs	peptide_rmsd_mean_A	peptide_rmsd_max_A	centroid_shift_mean_A	centroid_shift_max_A	cross_seed_agreement
alpha_lactorphin	5	10	3.767	6.311	1.976	3.315	DIVERGENT
alphas1_casein_exorphin_6	5	10	4.458	6.214	1.685	2.65	DIVERGENT
alphas1_casein_exorphin_7	5	10	4.318	7.625	1.848	3.599	DIVERGENT
beta_casomorphin_4_bov	5	10	3.732	5.778	1.422	2.131	DIVERGENT
beta_casomorphin_5_bov	5	10	4.479	6.978	1.898	2.676	DIVERGENT
beta_casomorphin_5_hum	5	10	3.505	5.035	2.035	3.012	DIVERGENT
beta_casomorphin_7_bov	5	10	1.346	2.096	0.75	1.129	PARTIAL
beta_casomorphin_7_hum	5	10	7.011	9.583	1.402	2.281	DIVERGENT
beta_lactorphin	5	10	3.681	6.114	1.335	2.103	DIVERGENT
casoxin_A	5	10	4.447	6.723	1.388	2.57	DIVERGENT
casoxin_B	5	10	3.219	5.544	1.136	1.952	DIVERGENT
casoxin_C	5	10	2.49	4.739	0.944	1.429	PARTIAL
casoxin_D	5	10	6.372	9.901	2.41	4.193	DIVERGENT
lactoferroxin_A_bov	5	10	4.361	5.944	2.509	3.551	DIVERGENT
lactoferroxin_A_hum	5	10	3.032	5.453	1.553	3.095	DIVERGENT
met_enkephalin	5	10	1.011	1.415	0.609	0.957	CONVERGED
neocasomorphin_6	5	10	7.895	11.54	2.962	5.827	DIVERGENT
scr__alpha_lactorphin	5	10	2.874	3.694	1.196	1.648	PARTIAL
scr__alphas1_casein_exorphin_6	5	10	5.839	8.33	1.913	4.114	DIVERGENT
scr__alphas1_casein_exorphin_7	5	10	5.877	9.205	2.017	3.194	DIVERGENT
scr__beta_casomorphin_4_bov	5	10	5.524	7.72	3.357	5.541	DIVERGENT
scr__beta_casomorphin_5_bov	5	10	3.785	7.814	2.916	6.579	DIVERGENT
scr__beta_casomorphin_5_hum	5	10	1.186	1.617	0.835	1.42	CONVERGED
scr__beta_casomorphin_7_bov	5	10	8.026	11.949	2.094	2.929	DIVERGENT
scr__beta_casomorphin_7_hum	5	10	6.325	10.705	2.951	4.733	DIVERGENT
scr__beta_lactorphin	5	10	2.204	3.69	0.882	1.286	PARTIAL
scr__casoxin_A	5	10	6.731	10.013	2.966	5.219	DIVERGENT
scr__casoxin_B	5	10	2.857	4.309	0.96	1.326	PARTIAL
scr__casoxin_C	5	10	4.394	5.366	1.981	3.466	DIVERGENT
scr__casoxin_D	5	10	3.996	5.746	2.059	3.332	DIVERGENT
scr__lactoferroxin_A_bov	5	10	5.307	7.014	2.069	2.944	DIVERGENT
scr__lactoferroxin_A_hum	5	10	5.004	6.805	2.628	4.702	DIVERGENT
scr__met_enkephalin	5	10	3.459	4.736	0.977	1.492	PARTIAL
scr__neocasomorphin_6	5	10	2.801	3.86	1.977	3.159	PARTIAL
scr__soymorphin_5	5	10	2.909	4.486	1.288	2.294	PARTIAL
scr__soymorphin_6	5	10	2.562	4.311	1.924	3.414	PARTIAL
scr__soymorphin_7	5	10	2.754	3.766	1.766	2.661	PARTIAL
